,q0001,q0002,q0004_0001,q0004_0002,q0004_0003,q0004_0004,q0004_0005,q0004_0006,q0005,q0007_0001,q0007_0002,q0007_0003,q0007_0004,q0007_0005,q0007_0006,q0007_0007,q0007_0008,q0007_0009,q0007_0010,q0007_0011,q0008_0001,q0008_0002,q0008_0003,q0008_0004,q0008_0005,q0008_0006,q0008_0007,q0008_0008,q0008_0009,q0008_0010,q0008_0011,q0008_0012,q0009,q0010_0001,q0010_0002,q0010_0003,q0010_0004,q0010_0005,q0010_0006,q0010_0007,q0010_0008,q0011_0001,q0011_0002,q0011_0003,q0011_0004,q0011_0005,q0012_0001,q0012_0002,q0012_0003,q0012_0004,q0012_0005,q0012_0006,q0012_0007,q0013,q0014,q0015,q0017,q0018,q0019_0001,q0019_0002,q0019_0003,q0019_0004,q0019_0005,q0019_0006,q0019_0007,q0020_0001,q0020_0002,q0020_0003,q0020_0004,q0020_0005,q0020_0006,q0021_0001,q0021_0002,q0021_0003,q0021_0004,q0022,q0024,q0025_0001,q0025_0002,q0025_0003,q0026,q0028,q0029,q0030,q0034,q0035,q0036,racethn4,educ4,age3,kids,orientation,weight
1,Somewhat masculine,Somewhat important,0,0,0,1,0,0,Yes,Often,Often,Often,Often,"Never, and not open to it","Never, and not open to it",Often,Sometimes,Sometimes,"Never, and not open to it",Often,0,0,1,0,0,0,0,0,1,1,0,0,"Not employed, NOT looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Sometimes,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,Never married,0,0,1,Gay,Hispanic,College graduate,New York,"$0-$9,999",Middle Atlantic,Windows Desktop / Laptop,Hispanic,College or more,35 - 64,0,Gay/Bisexual,1.714025972
2,Somewhat masculine,Somewhat important,1,0,0,0,0,0,Yes,Rarely,Sometimes,"Never, but open to it",Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,No answer,0,1,0,0,0,0,0,1,1,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Rarely,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Widowed,0,1,0,Straight,White,Some college,Ohio,"$50,000-$74,999",East North Central,iOS Phone / Tablet,White,Some college,65 and up,1,Straight,1.2471201159999998
3,Very masculine,Not too important,1,0,0,0,0,1,No,Sometimes,Sometimes,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Rarely,Sometimes,Rarely,"Never, and not open to it",0,0,0,0,0,0,0,0,1,0,0,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,Managers want to hire and promote women,0,0,0,0,0,0,0,0,0,0,Other (please specify),0,A lot,No,Yes,Sometimes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,College graduate,Michigan,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,White,College or more,35 - 64,1,Straight,0.515746057
4,Very masculine,Not too important,1,1,1,0,0,0,No,Rarely,Rarely,Sometimes,Rarely,Rarely,Often,"Never, and not open to it","Never, and not open to it",Rarely,"Never, and not open to it","Never, and not open to it",0,0,0,0,0,0,0,0,0,0,0,1,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Always,It?s the right thing to do,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,0,0,0,0,0,0,0,1,Married,0,1,0,No answer,White,Some college,Indiana,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,White,Some college,65 and up,1,No answer,0.6006400789999999
5,Very masculine,Very important,0,0,1,0,0,0,Yes,Sometimes,Rarely,"Never, and not open to it","Never, but open to it","Never, but open to it",Sometimes,"Never, and not open to it",Often,Rarely,"Never, but open to it",Sometimes,0,1,0,0,0,0,0,0,0,0,0,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,A lot,Yes,No,Always,0,0,0,"Societal expectations, even though you don?t always think you should have to pay",0,0,0,0,1,0,0,0,0,0,0,0,1,0,Never married,0,0,1,Straight,White,College graduate,Ohio,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,White,College or more,35 - 64,0,Straight,1.0334004540000001
6,Very masculine,Somewhat important,1,0,0,0,0,0,Yes,"Never, but open to it",Sometimes,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Sometimes,Often,"Never, but open to it","Never, and not open to it",0,0,0,0,0,0,0,0,0,0,0,1,"Employed, working full-time",0,0,0,0,0,0,0,Other (please specify),0,0,Greater risk of being accused of being sexist or racist,0,0,Confronted the accused person,0,0,0,0,0,0,0,Only a little,No,No,Always,It?s the right thing to do,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,Indiana,"$200,000+",East North Central,Windows Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.059086640999999995
7,Somewhat masculine,Not too important,1,1,1,0,1,0,No,Sometimes,Sometimes,"Never, and not open to it",Rarely,Rarely,Rarely,"Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it",Rarely,0,1,0,0,0,0,0,0,0,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,0,0,None of the above,0,0,0,0,Reached out to the victim to offer support,0,0,0,0,Nothing at all,0,Yes,Sometimes,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,Never married,0,1,0,Gay,Other,Post graduate degree,Hawaii,"$25,000-$49,999",West North Central,Windows Desktop / Laptop,Other,Post graduate degree,18 - 34,1,Gay/Bisexual,0.257359715
8,Somewhat masculine,Somewhat important,1,0,0,1,1,0,Yes,Rarely,Rarely,"Never, and not open to it","Never, but open to it","Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,0,1,0,1,0,0,0,0,0,0,0,0,Not employed-retired,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Often,0,0,0,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",You try to pay to see if the other person will offer to share in the cost,0,1,0,0,1,1,0,0,0,0,1,1,Married,0,0,1,Straight,White,College graduate,New York,"$150,000-$174,999",Middle Atlantic,Windows Desktop / Laptop,White,College or more,65 and up,0,Straight,0.6564900539999999
9,Very masculine,Not at all important,1,0,0,0,1,0,No,Sometimes,Sometimes,Sometimes,Sometimes,"Never, but open to it",Often,"Never, and not open to it",Often,Sometimes,"Never, and not open to it",Rarely,0,1,1,0,0,0,1,0,1,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,0,0,0,None of the above,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,No,No,Always,It?s the right thing to do,0,You feel good about being the one who pays,0,"You asked the person out, so you feel obligated to pay",0,0,1,0,1,1,0,0,0,0,0,1,0,Married,1,0,0,Straight,Hispanic,Some college,California,"$100,000-$124,999",Pacific,iOS Phone / Tablet,Hispanic,Some college,35 - 64,1,Straight,4.341850255
10,Somewhat masculine,Somewhat important,1,0,0,1,0,1,No,Sometimes,Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Often,Rarely,"Never, but open to it",Sometimes,0,1,0,1,0,1,1,0,1,0,0,0,"Employed, working full-time",0,Men are taken more seriously,0,Men have more promotion/professional development opportunities,0,Men generally have more support from their managers,0,0,0,Greater risk of being accused of sexual harassment,0,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Some,No,Yes,Always,It?s the right thing to do,0,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",0,0,0,1,1,1,0,0,0,0,0,1,0,Married,0,0,1,Straight,White,Post graduate degree,Oregon,"$150,000-$174,999",Pacific,iOS Phone / Tablet,White,Post graduate degree,35 - 64,0,Straight,0.057482292000000004
11,Very masculine,Somewhat important,1,1,1,1,1,1,No,Sometimes,Rarely,Rarely,Rarely,"Never, but open to it",Sometimes,"Never, and not open to it",Rarely,Rarely,Rarely,"Never, but open to it",0,1,0,1,1,0,1,1,1,1,1,0,"Employed, working full-time",0,0,0,0,0,0,None of the above,0,Managers want to hire and promote women,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,0,0,0,0,0,0,Did not respond at all,0,0,You weren?t sure it was sexual harassment,Some,No,Yes,Always,It?s the right thing to do,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,Married,1,1,0,Straight,White,College graduate,Michigan,"$100,000-$124,999",East North Central,Windows Desktop / Laptop,White,College or more,35 - 64,1,Straight,0.5007129029999999
12,Somewhat masculine,Not too important,1,0,0,0,0,0,Yes,"Never, but open to it",Sometimes,Often,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Rarely,Sometimes,Sometimes,0,0,0,0,0,0,0,1,1,1,1,0,"Not employed, NOT looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Often,0,0,0,0,0,0,Other (please specify),1,0,0,0,0,0,0,0,0,1,0,Married,0,0,1,Straight,White,Some college,South Carolina,"$25,000-$49,999",South Atlantic,Other,White,Some college,35 - 64,0,Straight,0.617906017
13,Very masculine,Somewhat important,1,0,1,0,0,0,No,Sometimes,Sometimes,"Never, but open to it","Never, but open to it","Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,0,1,0,0,0,0,0,0,0,0,0,0,"Not employed, NOT looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Sometimes,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Married,0,0,1,Straight,White,College graduate,Florida,"$125,000-$149,999",South Atlantic,MacOS Desktop / Laptop,White,College or more,35 - 64,0,Straight,0.545344405
14,Very masculine,Very important,0,0,0,0,1,1,Yes,Often,Sometimes,Sometimes,Rarely,"Never, and not open to it","Never, but open to it","Never, and not open to it",Often,Often,Rarely,Sometimes,0,0,0,0,0,0,0,0,0,1,0,0,"Employed, working full-time",0,Men are taken more seriously,0,0,0,0,0,0,Managers want to hire and promote women,0,0,0,0,0,0,0,0,0,Never witnessed sexual harassment,0,0,Nothing at all,0,Yes,Always,0,0,0,0,"You asked the person out, so you feel obligated to pay",0,0,0,0,0,0,1,0,1,1,0,0,1,Married,1,0,0,Straight,Black,Some college,California,"$10,000-$24,999",0,Android Phone / Tablet,Black,Some college,18 - 34,1,Straight,3.398346389
15,Not at all masculine,Not at all important,1,0,0,1,0,0,Yes,"Never, but open to it",Sometimes,Sometimes,Often,"Never, and not open to it","Never, and not open to it",Rarely,"Never, and not open to it","Never, and not open to it",Often,Often,0,0,1,1,1,0,0,1,1,0,0,0,"Not employed, student",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Never,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Never married,0,0,1,Straight,White,High school or G.E.D.,Massachusetts,Prefer not to answer,New England,MacOS Desktop / Laptop,White,High school or less,18 - 34,0,Straight,8.643673599
16,Somewhat masculine,Somewhat important,1,0,0,0,0,0,No,"Never, but open to it",Rarely,Sometimes,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Often,"Never, but open to it",Rarely,0,1,0,0,0,0,0,0,1,1,0,0,"Not employed, NOT looking for work",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No answer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Married,0,1,0,Straight,White,Post graduate degree,West Virginia,Prefer not to answer,South Atlantic,MacOS Desktop / Laptop,White,Post graduate degree,65 and up,1,Straight,0.058149837
